uid,nama,deskripsi,rating_avg,rating_total,price_level,price_label,status,status_label,kategori,address,area_type,kecamatan,kodepos,latitude,longitude,shortLink,createTime
ff155583-3343-44cc-8bad-48d1562791f8,"Restoran Sederhana, Kemang Pratama",,4.8,0.0,2,Menengah,1,Aktif,"Aneka nasi, Martabak, Sate","Restoran Sederhana, Jalan Kemang Pratama, Markan, Bojong Rawalumbu, Kota Bekasi, Jawa Barat, Jawa, 17114, Indonesia",Kota Bekasi,Bojong Rawalumbu,17114,-6.276160596457623,106.98816616794316,https://gofood.link/u/vjjMn,2016-06-20T10:19:45.599Z
1f9d3b2a-c7b2-40ee-8de6-c674545f26c0,"Dons Burger Cafe, Pondok Ungu Permai",,4.6,0.0,2,Menengah,1,Aktif,Cepat saji,"Pondok Ungu Permai, Kaliabang Tengah, Kota Bekasi, Jawa Barat, Jawa, 17125, Indonesia",Kota Bekasi,Kaliabang Tengah,17125,-6.178439,107.000944,https://gofood.link/u/vr2Y,2018-01-23T10:56:12.561Z
58e3885a-db34-457b-83d0-f9aab483af3b,"Tahu Kupat Pak Harmin (Khas Solo), Perum Taman Galaxy",,4.8,0.0,2,Menengah,1,Aktif,"Aneka nasi, Jajanan, Cepat saji","Jalan Pulo Sirih Barat, Pondok Pekayon Indah, Jakasetia, Kota Bekasi, Jawa Barat, Jawa, 17147, Indonesia",Kota Bekasi,Jakasetia,17147,-6.265161926371975,106.97106700390576,https://gofood.link/u/vrKa,2018-11-26T07:58:11.784Z
209a473c-b131-4249-8842-90dd247ef745,"EL Food and Snack, Pondok Gede","""Pecel Sriwijaya adalah warung makan dengan berbagai pilihan inovasi ayam bakar dengan sambal khas sumatera, dengan ungkepan ayam yang empuk dan gurih rasanya """,0.0,0.0,2,Menengah,1,Aktif,"Cepat saji, Barat, Jajanan","Jatiwaringin, Kota Bekasi, Jawa Barat, Jawa, 17411, Indonesia",Kota Bekasi,,17411,-6.274148,106.910834,https://gofood.link/u/vxy5,2017-02-09T10:44:15.213Z
f3a625e8-9183-4159-9717-85a0a64c6808,"Sweevory Delight, Bekasi Selatan",,4.4,0.0,2,Menengah,1,Aktif,"Kopi, Minuman, Roti","Jalan Ruko Sentra Niaga 3, Komplek Mayor, Markan, Jakasetia, Kota Bekasi, Jawa Barat, Jawa, 17147, Indonesia",Kota Bekasi,Jakasetia,17147,-6.2751894,106.9740285,https://gofood.link/u/w1qWq,2018-08-23T08:25:19.375Z
be9457bd-eda7-41b3-a797-c5452576306f,"Kopi Janji Jiwa & Jiwa Toast, Ruko Zamrud Mustika Jaya",,4.7,0.0,2,Menengah,1,Aktif,"Kopi, Minuman, Roti, Jajanan","Jalan Raya Zamrud Selatan, Dukuh Zamrud, Padurenan, Kota Bekasi, Jawa Barat, Jawa, 17155, Indonesia",Kota Bekasi,Padurenan,17155,-6.317656,107.019197,https://gofood.link/u/w4lJd,2019-08-27T18:20:22.513Z
1568efd1-60cd-4f82-806a-8a5588e96820,"Bandar Djakarta, La Terrazza Summarecon Bekasi",,4.6,0.0,4,Premium,1,Aktif,Seafood,"Bandar Djakarta, Jalan Bulevar Selatan, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia",Kota Bekasi,Summarecon Bekasi,17142,-6.226873376897812,106.99723429977892,https://gofood.link/u/wOdD,2018-09-25T07:46:24.795Z
154f7078-3f1f-4d4b-a9a1-6c2e9fc42cdc,"Ikan Bakar Laut Rohadi, Pondok Gede",,4.8,0.0,3,Mahal,1,Aktif,"Ayam & bebek, Seafood, Aneka nasi","Jalan Haji Ramid, Jatimakmur, Kota Bekasi, Jawa Barat, Jawa, 17413, Indonesia",Kota Bekasi,Jatimakmur,17413,-6.283277369533862,106.9290267303586,https://gofood.link/u/wOkq,2017-07-11T05:37:17.154Z
159e8c0a-bfb1-47bb-8a6a-1e64d8e41a22,"Tahu Pedas Elit, Mustikas Jaya",,4.8,0.0,1,Murah,1,Aktif,Jajanan,"rumah bpak aki, 142, Jalan Haji Jole, Familia Urban, Padurenan, Kota Bekasi, Jawa Barat, Jawa, 17165, Indonesia",Kota Bekasi,Padurenan,17165,-6.31445954,106.99634869,https://gofood.link/u/wVMx,2017-05-18T09:22:59.390Z
315e24ed-00d0-4cc8-9738-8b428c19901a,"Bakso Super Retnosari (Gepeng Urat), Bekasi Selatan",,4.7,0.0,2,Menengah,1,Aktif,Bakso & soto,"Jalan Sedap Malam, Jakasampurna, Kota Bekasi, Jawa Barat, Jawa, 17145, Indonesia",Kota Bekasi,Jakasampurna,17145,-6.255554,106.970368,https://gofood.link/u/wmVa,2018-09-28T03:36:36.748Z
58960cae-26bd-47fc-a164-ac844631986c,"RM. Barito Minang, Bekasi",,4.2,0.0,2,Menengah,1,Aktif,Aneka nasi,"Gang Haji Ukar. AB, Kayuringinjaya, Kota Bekasi, Jawa Barat, Jawa, 17141, Indonesia",Kota Bekasi,Kayuringinjaya,17141,-6.242828,106.999096,https://gofood.link/u/wrGJrD,2019-11-07T11:20:57.799Z
5e003e2f-d729-42d4-a71a-710c49f2d5ee,"Ta Wan, Grand Metropolitan",,4.7,0.0,3,Mahal,1,Aktif,Chinese,"Grand Metropolitan, Jalan Tol Jakarta–Cikampek, Bumi Satria Kencana, Rawa Panjang, Margajaya, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia",Kota Bekasi,Margajaya,17142,-6.2492501,106.9843251,https://gofood.link/u/wrZ5e,2016-06-20T10:19:47.395Z
383facd3-6a9a-4232-8fd1-52dd4dee252e,"Auntie Anne's, Summarecon Mall Bekasi",,4.5,0.0,3,Mahal,1,Aktif,"Minuman, Jajanan, Sweets, Roti","Summarecon Mall Bekasi, Jalan Bulevar Ahmad Yani, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia",Kota Bekasi,Summarecon Bekasi,17142,-6.226273,107.001064,https://gofood.link/u/wrwKd,2017-05-05T09:22:37.790Z
5ef00ad7-a58c-4581-842a-17771795bc21,"Sate Solo Pak Bejo, Setu",,4.4,0.0,2,Menengah,1,Aktif,"Bakso & soto, Ayam & bebek, Sate","Jalan MT Haryono, Kabupaten Bekasi, Cileungsi, Bogor, Jawa Barat, Jawa, 17320, Indonesia",Kabupaten Bekasi,,17320,-6.333156,107.0468976,https://gofood.link/u/wrzkx,2018-02-13T07:38:05.649Z
b7a65ab6-9ba9-408f-9cff-a01155ae9fd9,Fat-Fat Chinese Food,,4.8,0.0,3,Mahal,1,Aktif,Seafood,"Kota Harapan Indah, Pejuang, Kota Bekasi, Jawa Barat, Jawa, 17131, Indonesia",Kota Bekasi,Pejuang,17131,-6.1838333,106.9791667,https://gofood.link/u/wy8Oa,2016-06-20T10:20:37.184Z
f8b6644a-3fdb-495f-9103-47d5833592d7,"Martabak Pizza Orins, Jati Asih","Juara Partner GO-FOOD 2019: Kategori Partner Terbaik Jabodetabek & Kategori Martabak Jabodetabek
",4.7,0.0,3,Mahal,1,Aktif,Martabak,"Jalan Raya Jati Asih, Komplek Pemda Jatiasih, Jatimekar, Kota Bekasi, Jawa Barat, Jawa, 17423, Indonesia",Kota Bekasi,Jatimekar,17423,-6.292828240458663,106.95984160992566,https://gofood.link/u/wyDJx,2016-12-01T04:15:43.007Z
45234e37-9585-45c4-a254-ca0b6518eb6b,"Been Sae Cake & Cookies, Baru Kompas",,4.2,0.0,3,Mahal,1,Aktif,Roti,"Jalan K. Haji Masud, Kompas, Tambun, Kabupaten Bekasi, Jawa Barat, Jawa, 17520, Indonesia",Kabupaten Bekasi,Tambun,17520,-6.262266,107.06806,https://gofood.link/u/x5xL,2018-02-12T06:48:02.438Z
b75d1046-ee48-482a-81dc-3e2c487e98dd,"Teguk, Pondok Ungu ",,4.7,0.0,2,Menengah,1,Aktif,"Kopi, Minuman, Roti, Sweets, Jajanan","Jalan Pondok Ungu Permai, Grand Pondok Ungu, Kabupaten Bekasi, Jawa Barat, Jawa, 17125, Indonesia",Kabupaten Bekasi,Grand Pondok Ungu,17125,-6.184639,107.0085,https://gofood.link/u/xDZj0,2019-10-22T16:18:35.247Z
5959aef6-e84b-4994-a99e-f34e5d17091d,"Mochi Mochio, Mega Bekasi Hypermall",,4.3,0.0,3,Mahal,1,Aktif,Jajanan,"Mega Bekasi Hypermall, Jalan Ahmad Yani, Rawa Panjang, Margajaya, Kota Bekasi, Jawa Barat, Jawa, 17141, Indonesia",Kota Bekasi,Margajaya,17141,-6.249354,106.992368,https://gofood.link/u/xOrY,2017-01-04T10:52:29.796Z
4def9b18-c8e7-4c0e-b603-4289abfd3d5e,"Bakmi Mulia, Jatiasih",,4.8,0.0,2,Menengah,1,Aktif,"Seafood, Bakmie, Chinese","Jalan Gamelan Raya, Komplek Kemang IFI Graha, Jatirasa, Kota Bekasi, Jawa Barat, Jawa, 17423, Indonesia",Kota Bekasi,Jatirasa,17423,-6.296460051454695,106.97059225291014,https://gofood.link/u/xRnq,2018-03-29T02:43:24.813Z
d33cbf74-8238-48c4-9383-a21f0b9bdc56,"Soto Ayam Kumis, Pondok Gede",,4.6,0.0,1,Murah,1,Aktif,Bakso & soto,"Jati Kramat Indah 2, Jatikramat, Kota Bekasi, Jawa Barat, Jawa, 17421, Indonesia",Kota Bekasi,Jatikramat,17421,-6.2703756,106.9469258,https://gofood.link/u/xY7ge,2018-08-16T09:07:18.973Z
e58d690a-4716-4dc7-888b-aef0759e6f9a,"Sate Senayan by Sate Khas Senayan, Grand Metropolitan Bekasi",,4.6,0.0,3,Mahal,1,Aktif,"Aneka nasi, Sate","Grand Metropolitan, Jalan Tol Jakarta–Cikampek, Bumi Satria Kencana, Rawa Panjang, Margajaya, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia",Kota Bekasi,Margajaya,17142,-6.249064,106.984614,https://gofood.link/u/xYB4Y,2016-06-20T10:20:14.863Z
aeed224c-ea49-40f6-acbe-d6e0c5673745,"JAGONYA MAKAN, Makanan Dan Minuman",,3.5,0.0,2,Menengah,1,Aktif,"Sweets, Minuman, Cepat saji","Jalan Merpati Raya, Kranji, Kota Bekasi, Jawa Barat, Jawa, 17135, Indonesia",Kota Bekasi,Kranji,17135,-6.230843275137121,106.96852192282677,https://gofood.link/u/xYWD0,2019-04-24T16:47:23.555Z
f9c1e548-a86c-4ea4-a260-5ffa580477af,"Warung Adipati, Tambun Selatan",,4.2,0.0,2,Menengah,1,Aktif,"Jajanan, Aneka nasi, Bakmie","Perum. Jatimulya Bekasi, Jatimulya, Kabupaten Bekasi, Jawa Barat, Jawa, 17510, Indonesia",Kabupaten Bekasi,Jatimulya,17510,-6.2688815,107.0259529,https://gofood.link/u/xYaaL,2018-09-18T09:58:48.179Z
e6fa2063-ea57-48e8-9f8a-44e832c3e37e,"Solaria, Mega Bekasi 3",,4.6,0.0,3,Mahal,1,Aktif,Aneka nasi,"Mega Bekasi Hypermall, Jalan Ahmad Yani, Rawa Panjang, Margajaya, Kota Bekasi, Jawa Barat, Jawa, 17141, Indonesia",Kota Bekasi,Margajaya,17141,-6.2498258,106.9925001,https://gofood.link/u/xYjAq,2017-06-14T09:02:32.676Z
b6272e06-2c8c-45f6-9818-e86ba9b19867,"Dimsum 467, Ktw Taman Flora F12 No 16",,4.7,0.0,2,Menengah,1,Aktif,"Jajanan, Cepat saji","Grand Pondok Ungu, Kabupaten Bekasi, Jawa Barat, Jawa, 17125, Indonesia",Kabupaten Bekasi,,17125,-6.185106805802901,107.01672893017528,https://gofood.link/u/xYmwL,2018-11-14T08:03:20.023Z
f3ce3b79-d6b9-46e9-bfcb-42b28589d558,"Sate Tongseng Pak Budi, Bekasi Timur",,4.7,0.0,3,Mahal,1,Aktif,Sate,"Perumahan Margahayu Jaya, Bulak Kapal, Kota Bekasi, Jawa Barat, Jawa, 10350, Indonesia",Kota Bekasi,Bulak Kapal,10350,-6.2558333,107.0221667,https://gofood.link/u/xgZ1L,2016-06-20T10:20:09.201Z
7850d93a-fbfb-4fb3-8dfe-4ce09ec7f20f,"Ungkep In Ayam Resto, Jatiasih",,4.6,0.0,3,Mahal,1,Aktif,"Ayam & bebek, Aneka nasi, Cepat saji","Jalan Raya Jatimekar, Graha Indah, Jatimekar, Kota Bekasi, Jawa Barat, Jawa, 17422, Indonesia",Kota Bekasi,Jatimekar,17422,-6.288350260536593,106.95411443710329,https://gofood.link/u/xgdm0,2018-04-12T03:21:44.772Z
469ca415-f17c-4394-8699-33541b1377c3,"Nam Thai Tea, Bekasi Utara",,0.0,0.0,1,Murah,1,Aktif,Minuman,"Kopi Kenangan x Cerita Roti - Dapur Kitchen Bekasi, Jalan Perjuangan, Bekasi Jaya, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia",Kota Bekasi,Bekasi Jaya,17142,-6.235992,107.000329,https://gofood.link/u/xney,2018-07-05T04:34:08.639Z
11ac8186-f8f3-4965-9a75-13c2dfc2581d,"Bang Raden Gerobak Kopi, Grand Galaxy City",,4.8,0.0,3,Mahal,1,Aktif,"Minuman, Kopi, Sweets","Jalan Ruko Sentra Niaga 6, Komplek Mayor, Pekayon, Jakasetia, Kota Bekasi, Jawa Barat, Jawa, 17147, Indonesia",Kota Bekasi,Jakasetia,17147,-6.274342,106.974104,https://gofood.link/u/xz8lO,2018-08-21T08:01:29.218Z
4d3e38de-f657-4ee2-9d5b-df0cd9fdf85b,"Holland Bakery, Ruko Jati Makmur Residence",,4.8,0.0,2,Menengah,1,Aktif,"Roti, Sweets","Holland Bakery Jati Makmur, 3A, Jalan Raya Jati Makmur, Duta Indah, Jatimakmur, Kota Bekasi, Jawa Barat, Jawa, 17413, Indonesia",Kota Bekasi,Jatimakmur,17413,-6.2856667,106.9355,https://gofood.link/u/y0dZ,2016-06-20T10:19:35.853Z
