uid,ratings,priceLevel,key,tenantUid,displayName,description,countryCode,timeZone,status,openPeriods,createTime,brandUid,badges,notes,shortLink,nextCloseTime,tags,location.latitude,location.longitude,serviceArea.id,brand.key,brand.tenantUid,brand.uid,brand.displayName,areaName
97ff939c-5e58-46dc-b05e-2fcbf83a73ac,"{'average': 3.5, 'total': 0}",2,tenants/gofood/outlets/97ff939c-5e58-46dc-b05e-2fcbf83a73ac,gofood,"Laksa Nyonya Nyonya, Pasar sinpansa",,ID,Asia/Jakarta,1,"[{'day': 1, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 15, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 15, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 6, 'minutes': 45, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 14, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 15, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 7, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 14, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 14, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 6, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 14, 'minutes': 0, 'seconds': 0, 'nanos': 0}}]",2018-06-28T06:38:10.695Z,b74a8a56-13e5-4364-b385-99bc13d423dc,[],,https://gofood.link/a/yM9SM75,2024-02-18T07:00:00.000Z,"[{'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_FASTFOOD', 'tenantUid': 'gofood', 'uid': 'CUISINE_FASTFOOD', 'displayName': 'Cepat saji', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SOTO_BAKSO_SOP', 'tenantUid': 'gofood', 'uid': 'CUISINE_SOTO_BAKSO_SOP', 'displayName': 'Bakso & soto', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-6.2291341,107.0003879,1,tenants/gofood/brands/b74a8a56-13e5-4364-b385-99bc13d423dc,gofood,b74a8a56-13e5-4364-b385-99bc13d423dc,Lontong Pedas Kuah Udang,"Indomaret, Jalan Bulevar Selatan, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
a2758940-b560-46c3-a693-7b2fecad8613,"{'average': 4.7, 'total': 0}",3,tenants/gofood/outlets/a2758940-b560-46c3-a693-7b2fecad8613,gofood,"Mie Kangkung Betawi, Soto Betawi Ariyani, Sinpasa",,ID,Asia/Jakarta,1,"[{'day': 1, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 8, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 30, 'seconds': 0, 'nanos': 0}}]",2016-06-20T10:19:30.316Z,dfdac860-6d36-41bd-9c8f-e0eedde9bde8,[],,https://gofood.link/u/zyy14,2024-02-18T13:30:00.000Z,"[{'key': 'tenants/gofood/tags/CUISINE_BAKMIE', 'tenantUid': 'gofood', 'uid': 'CUISINE_BAKMIE', 'displayName': 'Bakmie', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_FASTFOOD', 'tenantUid': 'gofood', 'uid': 'CUISINE_FASTFOOD', 'displayName': 'Cepat saji', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SOTO_BAKSO_SOP', 'tenantUid': 'gofood', 'uid': 'CUISINE_SOTO_BAKSO_SOP', 'displayName': 'Bakso & soto', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-6.2288333,107.0003333,1,tenants/gofood/brands/dfdac860-6d36-41bd-9c8f-e0eedde9bde8,gofood,dfdac860-6d36-41bd-9c8f-e0eedde9bde8,Mie Kangkung Betawi Aryani,"Jalan Bulevar Selatan, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
4c80a72e-bda9-44ce-820b-c43ac3d73410,"{'average': 4.7, 'total': 0}",3,tenants/gofood/outlets/4c80a72e-bda9-44ce-820b-c43ac3d73410,gofood,"Domino's Pizza, Summarecon Bekasi",,ID,Asia/Jakarta,1,"[{'day': 2, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 59, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 59, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 1, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 0, 'seconds': 0, 'nanos': 0}}]",2016-06-20T10:28:07.239Z,1138bc70-b1f0-436b-a2cb-cc2ef8264c9c,[],,https://gofood.link/u/8w3V,2024-02-18T16:00:00.000Z,"[{'key': 'tenants/gofood/tags/CUISINE_PIZZA_PASTA', 'tenantUid': 'gofood', 'uid': 'CUISINE_PIZZA_PASTA', 'displayName': 'Pizza & pasta', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_FASTFOOD', 'tenantUid': 'gofood', 'uid': 'CUISINE_FASTFOOD', 'displayName': 'Cepat saji', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SNACKS_JAJANAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_SNACKS_JAJANAN', 'displayName': 'Jajanan', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-6.2287565,107.000717,1,tenants/gofood/brands/1138bc70-b1f0-436b-a2cb-cc2ef8264c9c,gofood,1138bc70-b1f0-436b-a2cb-cc2ef8264c9c,Domino's Pizza,"Jalan Bulevar Selatan, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
1568efd1-60cd-4f82-806a-8a5588e96820,"{'average': 4.6, 'total': 0}",4,tenants/gofood/outlets/1568efd1-60cd-4f82-806a-8a5588e96820,gofood,"Bandar Djakarta, La Terrazza Summarecon Bekasi",,ID,Asia/Jakarta,1,"[{'day': 1, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 30, 'seconds': 0, 'nanos': 0}}]",2018-09-25T07:46:24.795Z,3a2be3a8-6471-4e6e-a4ad-c7515c05ecb7,[],,https://gofood.link/u/wOdD,2024-02-18T13:30:00.000Z,"[{'key': 'tenants/gofood/tags/CUISINE_SEAFOOD', 'tenantUid': 'gofood', 'uid': 'CUISINE_SEAFOOD', 'displayName': 'Seafood', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-6.226873376897812,106.99723429977892,1,tenants/gofood/brands/3a2be3a8-6471-4e6e-a4ad-c7515c05ecb7,gofood,3a2be3a8-6471-4e6e-a4ad-c7515c05ecb7,Bandar Djakarta,"Bandar Djakarta, Jalan Bulevar Selatan, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
0c9d5d30-938f-4957-bb3e-8b653050fbd8,"{'average': 4.6, 'total': 0}",2,tenants/gofood/outlets/0c9d5d30-938f-4957-bb3e-8b653050fbd8,gofood,"Rm Parasmanan, Bekasi Selatan",,ID,Asia/Jakarta,1,"[{'day': 1, 'startTime': {'hours': 8, 'minutes': 45, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 18, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 8, 'minutes': 30, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 18, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 8, 'minutes': 30, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 18, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 17, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 9, 'minutes': 45, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 18, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 9, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 18, 'minutes': 0, 'seconds': 0, 'nanos': 0}}]",2018-11-21T04:15:26.664Z,74b54976-b6ff-4eed-ae7f-1986d607748e,[],,https://gofood.link/a/yMa4WUG,2024-02-18T11:00:00.000Z,"[{'key': 'tenants/gofood/tags/CUISINE_MINUMAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_MINUMAN', 'displayName': 'Minuman', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_ANEKA_AYAM_BEBEK', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_AYAM_BEBEK', 'displayName': 'Ayam & bebek', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-6.245499,106.995358,1,tenants/gofood/brands/74b54976-b6ff-4eed-ae7f-1986d607748e,gofood,74b54976-b6ff-4eed-ae7f-1986d607748e,Rm Parasmanan,"Jalan Kemakmuran, Kayuringinjaya, Kota Bekasi, Jawa Barat, Jawa, 17141, Indonesia"
82ed2e6f-1b4c-4005-a830-bbe3a3cde3f0,"{'average': 4.8, 'total': 0}",3,tenants/gofood/outlets/82ed2e6f-1b4c-4005-a830-bbe3a3cde3f0,gofood,"Bakmi GM, Ruko Summarecon Bekasi",,ID,Asia/Jakarta,1,"[{'day': 1, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 11, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 30, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 30, 'seconds': 0, 'nanos': 0}}]",2017-07-10T07:10:51.535Z,e18ae3bb-169c-4add-896a-0b0eee979f3b,[],,https://gofood.link/a/yM9dg4S,2024-02-18T14:30:00.000Z,"[{'key': 'tenants/gofood/tags/CUISINE_BAKMIE', 'tenantUid': 'gofood', 'uid': 'CUISINE_BAKMIE', 'displayName': 'Bakmie', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_CHINESE', 'tenantUid': 'gofood', 'uid': 'CUISINE_CHINESE', 'displayName': 'Chinese', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-6.228488536835209,107.00115766745512,1,tenants/gofood/brands/e18ae3bb-169c-4add-896a-0b0eee979f3b,gofood,e18ae3bb-169c-4add-896a-0b0eee979f3b,Bakmi GM,"Jalan Bulevar Selatan, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
ff5dd8c5-01fd-4d16-ac98-d14d56bc7c4c,"{'average': 4.6, 'total': 0}",3,tenants/gofood/outlets/ff5dd8c5-01fd-4d16-ac98-d14d56bc7c4c,gofood,A&W Bekasi Junction,"A&W Restaurants pertama kali dibuka di California pada tahun 1919. Produk yang dijual adalah A&W Root Beer, ayam goreng, burger maupun nugget. Di Indonesia, A&W memiliki lebih dari 200 outlet yang tersebar di kota besar maupun kecil.
",ID,Asia/Jakarta,1,"[{'day': 1, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 20, 'minutes': 0, 'seconds': 0, 'nanos': 0}}]",2016-06-20T10:21:34.728Z,a8347ead-9f6c-440d-b77d-deca592248a2,[],,https://gofood.link/u/VVx1P,2024-02-18T13:00:00.000Z,"[{'key': 'tenants/gofood/tags/CUISINE_FASTFOOD', 'tenantUid': 'gofood', 'uid': 'CUISINE_FASTFOOD', 'displayName': 'Cepat saji', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-6.2410282,107.0033652,1,tenants/gofood/brands/a8347ead-9f6c-440d-b77d-deca592248a2,gofood,a8347ead-9f6c-440d-b77d-deca592248a2,A&W,"Pasar Proyek Trade Center, Jalan Mayor Oking, Kota Bekasi, Jawa Barat, Jawa, 17141, Indonesia"
d011a87d-cc0c-433e-8933-0727a0f5856c,"{'average': 4.8, 'total': 0}",4,tenants/gofood/outlets/d011a87d-cc0c-433e-8933-0727a0f5856c,gofood,"Abuba Steak, Bekasi","ABUBA steak pelopor restoran steak dengan harga terjangkau di Jakarta. Rasakan Sensasi Kelezatan Steak dan Sausnya! Tersebar outletnya di Jakarta dan Bandung. Menu favorit Wagyu Steak, Sirloin, Tenderloin, T-bone, Salmon. Beragam appetizer dan side dish nikmat siap melengkapi steak kamu. Yummm... ABUBA steak, It's My Steak.",ID,Asia/Jakarta,1,"[{'day': 1, 'startTime': {'hours': 11, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 11, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 11, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 11, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 11, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 11, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 11, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 45, 'seconds': 0, 'nanos': 0}}]",2016-06-20T10:21:00.530Z,d427200b-d024-41dc-8a2a-f603fbb64690,[],,https://gofood.link/u/K3eRb,2024-02-18T16:45:00.000Z,"[{'key': 'tenants/gofood/tags/CUISINE_BURGER_SANDWICH_STEAK', 'tenantUid': 'gofood', 'uid': 'CUISINE_BURGER_SANDWICH_STEAK', 'displayName': 'Barat', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-6.228336,107.001418,1,tenants/gofood/brands/d427200b-d024-41dc-8a2a-f603fbb64690,gofood,d427200b-d024-41dc-8a2a-f603fbb64690,Abuba Steak,"Jalan Bulevar Selatan, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
3864d21f-1b1b-4f08-b9dd-8d518a5ecf43,"{'average': 4.7, 'total': 0}",3,tenants/gofood/outlets/3864d21f-1b1b-4f08-b9dd-8d518a5ecf43,gofood,"Mujigae, Summarecon Mall Bekasi",,ID,Asia/Jakarta,1,"[{'day': 1, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 45, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 10, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 21, 'minutes': 45, 'seconds': 0, 'nanos': 0}}]",2016-06-20T10:19:49.617Z,8d541755-18ff-4e89-b3db-a9a246c9b4d8,[],,https://gofood.link/u/Q53aW,2024-02-18T14:45:00.000Z,"[{'key': 'tenants/gofood/tags/CUISINE_FASTFOOD', 'tenantUid': 'gofood', 'uid': 'CUISINE_FASTFOOD', 'displayName': 'Cepat saji', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_ANEKA_NASI', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_NASI', 'displayName': 'Aneka nasi', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_KOREAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_KOREAN', 'displayName': 'Korea', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SNACKS_JAJANAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_SNACKS_JAJANAN', 'displayName': 'Jajanan', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_ANEKA_AYAM_BEBEK', 'tenantUid': 'gofood', 'uid': 'CUISINE_ANEKA_AYAM_BEBEK', 'displayName': 'Ayam & bebek', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-6.227013984259911,107.00006398094584,1,tenants/gofood/brands/8d541755-18ff-4e89-b3db-a9a246c9b4d8,gofood,8d541755-18ff-4e89-b3db-a9a246c9b4d8,Mujigae,"Summarecon Mall Bekasi, Jalan Bulevar Ahmad Yani, Summarecon Bekasi, Kota Bekasi, Jawa Barat, Jawa, 17142, Indonesia"
4492217a-ec22-432f-b6fa-e534a03bd5fd,"{'average': 4.5, 'total': 0}",2,tenants/gofood/outlets/4492217a-ec22-432f-b6fa-e534a03bd5fd,gofood,"Warkop 1899, Berkah H. Agus Salim",,ID,Asia/Jakarta,1,"[{'day': 1, 'startTime': {'hours': 0, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 59, 'seconds': 0, 'nanos': 0}}, {'day': 2, 'startTime': {'hours': 0, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 59, 'seconds': 0, 'nanos': 0}}, {'day': 3, 'startTime': {'hours': 0, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 59, 'seconds': 0, 'nanos': 0}}, {'day': 4, 'startTime': {'hours': 0, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 59, 'seconds': 0, 'nanos': 0}}, {'day': 5, 'startTime': {'hours': 0, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 59, 'seconds': 0, 'nanos': 0}}, {'day': 6, 'startTime': {'hours': 0, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 59, 'seconds': 0, 'nanos': 0}}, {'day': 7, 'startTime': {'hours': 0, 'minutes': 0, 'seconds': 0, 'nanos': 0}, 'endTime': {'hours': 23, 'minutes': 59, 'seconds': 0, 'nanos': 0}}]",2018-11-14T02:52:09.544Z,0ec79d07-bc6d-4ad4-9287-5df640d7a3a6,[],,https://gofood.link/u/D0Qa,,"[{'key': 'tenants/gofood/tags/CUISINE_SNACKS_JAJANAN', 'tenantUid': 'gofood', 'uid': 'CUISINE_SNACKS_JAJANAN', 'displayName': 'Jajanan', 'description': '', 'taxonomy': 2, 'parentKey': ''}, {'key': 'tenants/gofood/tags/CUISINE_SWEETS_DESSERTS', 'tenantUid': 'gofood', 'uid': 'CUISINE_SWEETS_DESSERTS', 'displayName': 'Sweets', 'description': '', 'taxonomy': 2, 'parentKey': ''}]",-6.239251,107.00495,1,tenants/gofood/brands/0ec79d07-bc6d-4ad4-9287-5df640d7a3a6,gofood,0ec79d07-bc6d-4ad4-9287-5df640d7a3a6,Warkop 1899,"Jalan KH. Agus Salim, Bekasi Jaya, Kota Bekasi, Jawa Barat, Jawa, 17112, Indonesia"
