nama,kategori,kecamatan,price_label,rating_avg,deskripsi,shortLink,is_kuesioner,photo_url,photo_source
"Mochi Mochio, Summarecon Mall Bekasi",Jajanan,Bekasi Utara,50rb - 100rb,4.4,,https://gofood.link/a/yM9JiLy,0,,
"Bakso Super 88, Bekasi Jaya",Bakso & soto,Bekasi Timur,25rb - 50rb,4.7,,https://gofood.link/a/yM9fYXN,0,,
"Pepper Lunch, Summarecon Mall Bekasi","Barat, Jepang, Aneka nasi, Ayam & bebek",Bekasi Utara,50rb - 100rb,5.0, ,https://gofood.link/a/yM9XB1G,0,https://api.jajanbekasi.web.id/foto/01_Pepper_Lunch_Summarecon_Mall_Bekasi.jpg,cached
Ayam Kalasan Pa'De Sudar 354,Ayam & bebek,Bekasi Selatan,25rb - 50rb,4.9,,https://gofood.link/u/5nn8,0,https://api.jajanbekasi.web.id/foto/17_Ayam_Kalasan_PaDe_Sudar_354.jpg,cached
"Marugame Udon & Tempura, Summarecon Mall Bekasi","Jepang, Bakmie",Bekasi Utara,50rb - 100rb,4.8,,https://gofood.link/u/3NVa4,0,,
"Krispy Kreme, Summarecon Mall Bekasi","Sweets, Roti, Jajanan",Bekasi Utara,>100rb,4.3,,https://gofood.link/u/myaA1,0,,
"Master Squid, Summarecon Mall Bekasi",Jajanan,Bekasi Utara,50rb - 100rb,4.7,,https://gofood.link/u/2yldW,0,,
"HokBen, Summarecon Mall Bekasi","Cepat saji, Jepang",Bekasi Utara,50rb - 100rb,4.6,,https://gofood.link/u/z88e2,0,,
"Chatime, Summarecon Mall Bekasi","Minuman, Kopi, Sweets",Bekasi Utara,25rb - 50rb,4.7,,https://gofood.link/u/MKV1G,0,,
Solaria - Summarecon Mall Bekasi 2,"Aneka nasi, Chinese",Bekasi Utara,50rb - 100rb,4.6,,https://gofood.link/u/nL2rA,0,,
"Solaria, Summarecon Mall Bekasi","Aneka nasi, Chinese",Bekasi Utara,50rb - 100rb,4.5,,https://gofood.link/u/RA8ex,0,,
"Pizza Hut, Summarecon Mall Bekasi","Pizza & pasta, Cepat saji, Barat, Jajanan, Ayam & bebek",Bekasi Utara,>100rb,4.7,,https://gofood.link/u/AJqR,0,,
